date,product_category,day_of_week,month,season,holiday,promo,weather_score,sales,is_outlier,has_event,justified_outlier,unjustified_outlier,sales_clean,ds
2020-01-01,Alimentaire,2,1,0,0,0,0.5029430591677552,117,False,False,False,False,117,2020-01-01
2020-01-01,Électronique,2,1,0,0,0,0.4018674063482535,107,False,False,False,False,107,2020-01-01
2020-01-01,Vêtements,2,1,0,0,1,0.5516644445935968,117,False,True,False,False,117,2020-01-01
2020-01-01,Jouets,2,1,0,0,0,0.3595183056072493,59,False,False,False,False,59,2020-01-01
2020-01-02,Électronique,3,1,0,0,0,0.5626434672453944,103,False,False,False,False,103,2020-01-01
2020-01-02,Jouets,3,1,0,0,1,0.492009154733745,87,False,True,False,False,87,2020-01-01
2020-01-02,Vêtements,3,1,0,0,0,0.4681153644505268,78,False,False,False,False,78,2020-01-01
2020-01-02,Alimentaire,3,1,0,0,0,0.5107207962040133,122,False,False,False,False,122,2020-01-01
2020-01-03,Alimentaire,4,1,0,0,0,0.5205075339234629,118,False,False,False,False,118,2020-01-01
2020-01-03,Vêtements,4,1,0,0,0,0.3376617470058756,81,False,False,False,False,81,2020-01-01
2020-01-03,Jouets,4,1,0,0,1,0.4835758014967968,90,False,True,False,False,90,2020-01-01
2020-01-03,Électronique,4,1,0,0,0,0.6888436939614256,105,False,False,False,False,105,2020-01-01
2020-01-04,Vêtements,5,1,0,0,0,0.4163908329780373,67,False,False,False,False,67,2020-01-01
2020-01-04,Électronique,5,1,0,0,0,0.5308009902217341,94,False,False,False,False,94,2020-01-01
2020-01-04,Alimentaire,5,1,0,0,1,0.5697586970339199,138,False,True,False,False,138,2020-01-01
2020-01-04,Jouets,5,1,0,0,0,0.3697155236475254,44,False,False,False,False,44,2020-01-01
2020-01-05,Vêtements,6,1,0,0,0,0.4644025915614167,65,False,False,False,False,65,2020-01-01
2020-01-05,Alimentaire,6,1,0,0,0,0.5452067838259671,109,False,False,False,False,109,2020-01-01
2020-01-05,Jouets,6,1,0,0,0,0.5697974030130097,44,False,False,False,False,44,2020-01-01
2020-01-05,Électronique,6,1,0,0,0,0.5029190503935568,100,False,False,False,False,100,2020-01-01
2020-01-06,Alimentaire,0,1,0,0,0,0.3767459688779719,123,False,False,False,False,123,2020-01-01
2020-01-06,Électronique,0,1,0,0,0,0.5457324281086765,109,False,False,False,False,109,2020-01-01
2020-01-06,Jouets,0,1,0,0,0,0.7098221474546746,66,False,False,False,False,66,2020-01-01
2020-01-06,Vêtements,0,1,0,0,0,0.4315508269387202,94,False,False,False,False,94,2020-01-01
2020-01-07,Alimentaire,1,1,0,0,0,0.4861917665338518,127,False,False,False,False,127,2020-01-01
2020-01-07,Vêtements,1,1,0,0,0,0.5591136117923933,77,False,False,False,False,77,2020-01-01
2020-01-07,Électronique,1,1,0,0,0,0.489302853014152,115,False,False,False,False,115,2020-01-01
2020-01-07,Jouets,1,1,0,0,0,0.69422455947563,66,False,False,False,False,66,2020-01-01
2020-01-08,Vêtements,2,1,0,0,0,0.5094621044669359,76,False,False,False,False,76,2020-01-01
2020-01-08,Électronique,2,1,0,0,0,0.3374455966437939,106,False,False,False,False,106,2020-01-01
2020-01-08,Jouets,2,1,0,0,0,0.2493428429463283,56,False,False,False,False,56,2020-01-01
2020-01-08,Alimentaire,2,1,0,0,0,0.3252778333034744,128,False,False,False,False,128,2020-01-01
2020-01-09,Vêtements,3,1,0,0,1,0.5139497796147459,109,False,True,False,False,109,2020-01-01
2020-01-09,Électronique,3,1,0,0,1,0.4715163062257799,153,True,True,True,False,153,2020-01-01
2020-01-09,Jouets,3,1,0,0,1,0.4893805909960247,83,False,True,False,False,83,2020-01-01
2020-01-09,Alimentaire,3,1,0,0,0,0.5297462053117816,120,False,False,False,False,120,2020-01-01
2020-01-10,Électronique,4,1,0,0,0,0.5510124361250075,90,False,False,False,False,90,2020-01-01
2020-01-10,Vêtements,4,1,0,0,0,0.4741824861968565,62,False,False,False,False,62,2020-01-01
2020-01-10,Alimentaire,4,1,0,0,0,0.8098299434071258,119,False,False,False,False,119,2020-01-01
2020-01-10,Jouets,4,1,0,0,0,0.4350635180386119,56,False,False,False,False,56,2020-01-01
2020-01-11,Alimentaire,5,1,0,0,0,0.5295232575040603,110,False,False,False,False,110,2020-01-01
2020-01-11,Vêtements,5,1,0,0,0,0.4761766324944382,65,False,False,False,False,65,2020-01-01
2020-01-11,Électronique,5,1,0,0,0,0.4589481517270269,103,False,False,False,False,103,2020-01-01
2020-01-11,Jouets,5,1,0,0,1,0.6818898532200325,87,False,True,False,False,87,2020-01-01
2020-01-12,Alimentaire,6,1,0,0,0,0.6177184963184339,114,False,False,False,False,114,2020-01-01
2020-01-12,Vêtements,6,1,0,0,0,0.5136746647399231,66,False,False,False,False,66,2020-01-01
2020-01-12,Jouets,6,1,0,0,0,0.463899077674743,43,False,False,False,False,43,2020-01-01
2020-01-12,Électronique,6,1,0,0,0,0.2695788064056033,106,False,False,False,False,106,2020-01-01
2020-01-13,Vêtements,0,1,0,0,0,0.4769338333360292,84,False,False,False,False,84,2020-01-01
2020-01-13,Électronique,0,1,0,0,1,0.6103217572053659,154,True,True,True,False,154,2020-01-01
2020-01-13,Jouets,0,1,0,0,0,0.6441942401952601,68,False,False,False,False,68,2020-01-01
2020-01-13,Alimentaire,0,1,0,0,0,0.7703027564405084,138,False,False,False,False,138,2020-01-01
2020-01-14,Électronique,1,1,0,0,0,0.2564687668217111,103,False,False,False,False,103,2020-01-01
2020-01-14,Alimentaire,1,1,0,0,1,0.5218963915855975,146,False,True,False,False,146,2020-01-01
2020-01-14,Jouets,1,1,0,0,1,0.5684163208608954,96,False,True,False,False,96,2020-01-01
2020-01-14,Vêtements,1,1,0,0,1,0.4158178368131847,116,False,True,False,False,116,2020-01-01
2020-01-15,Vêtements,2,1,0,0,0,0.5176150451887692,67,False,False,False,False,67,2020-01-01
